AssetTypeId	AssetTypeGuid	Flags	Name
9276845222653399059	11166703223854007287	None	DRAG/AreaGenerators/AreaOrientation.type
9347961231184760925	15905399680104924104	None	Entity/Types/MarvelModelRenderClass.type
9414548386697513685	7995004703322997703	None	Audio/Types/AmbientSfx.type
9479270114198949573	5321709658332726206	None	Regions/DepreciatedUnrealLayout.type
9585160337485598108	243896409845793730	None	Powers/Types/ProcTriggerType.type
9714363534454821126	10424357868021285825	None	Metagame/Blueprints/MetaGameMeterType.type
9846988441803561172	5393313347346236354	None	Populations/Blueprints/EntitySelector/ScriptRoleKeyEnum.type
9891167258823035012	8311883963037844425	None	Eval/EvalContext.type
9945228794826328811	8886613611591959494	None	UI/Dialogs/ButtonStyle.type
9952232240185608031	5715032184796349372	None	Types/TriBool.type
10080562888657408745	1026046006412903377	None	Entity/Items/Affixes/ItemEffectUnrealClass.type
10136059137642270526	15258656108833866788	None	AI/Misc/Types/WanderBasePointType.type
10418412035461026944	1051031656527299523	None	Entity/Items/Affixes/DuplicateHandlingBehavior.type
10470808141672878016	1700243717393220542	None	AI/Misc/Types/MoveToPathMethodType.type
10471298416768190265	13587747666944066549	None	Regions/Cells.type
10565391057070458702	509145957895177159	None	Types/Weekday.type
10674715635158552411	6366501796446995398	None	Metagame/MetaState/MetaStateGroup.type
10782126454952364424	15799116702869095374	None	Globals/IconPackage.type
10817354378627517188	14274646704330507250	None	AI/Misc/Types/FlankType.type
10884959337536624561	16940336573371450318	None	UI/UINotifications/Console/ConsoleHUDNotificationType.type
10975234207835491674	8720801189332386757	None	SpawnMarkers/PopulationType.type
10996523972706175556	11823723715607593928	None	Loot/LootTableSource.type
11062053863692701617	15914704366030095367	None	Leaderboards/Types/LeaderboardType.type
11186159580080967321	10488159014506529746	None	Audio/Types/RegionMusicBehavior.type
11208613688942594999	15149506013244490748	None	Types/EntityTriggerType.type
11270793807138130708	13827433539583607809	None	Types/InteractableType.type
11339072929244187283	2926001777086301133	None	UI/Types/MTXStorePage.type
11353885098287106311	16734165893912527812	Protected	Types/InfinityGem.type
11490316223117528695	9068882312705803194	None	Powers/Types/PowerIconPathType.type
11658820831597889963	8121180646226199493	None	UI/Types/UIElements.type
11702394049312853181	1095246622600070126	None	Entity/Types/CollisionType.type
11819687192200481895	12198579879847658423	None	Regions/DistrictResources.type
11837347586592934973	6071143634359223293	None	Console/SessionImageNames.type
11892392497011954314	17509663324919104516	None	Entity/Types/HotspotNegateByAllianceType.type
11909344688036712425	209674982420644917	None	AI/Misc/Types/PropertyOperatorType.type
11984057409008176958	8391147494296257488	None	UI/Tooltips/TooltipProceduralKey.type
12004437784997728117	4736162370150204368	None	Entity/Inventory/ConvenienceLabel.type
12073201652402490357	10479763556021568444	None	UI/Types/WaypointPOIType.type
12077555820925094551	1187004252329018305	None	UI/Types/StatIconType.type
