9224372792613083982	4215760526249566441	15371796094523413322	None	Localization/Translations/Combat/NegStatusNames/Knockdown.prototype
9224704436876808580	11750846887182927453	12394606670048857323	None	Globals/Evals/Test/DmgCalc01PreCalc.prototype
9225917826586844126	11544310164785202740	15125811155579574580	None	PvP/PvEWaveBase/PvEScaleBattle/Modes/PvEScaleGamePhase7Tier2.prototype
9227947396736814631	15102328962166426740	11898152913959587854	Protected	Powers/Player/Thor/Flight.prototype
9227957624422014280	11004527211956931630	5838903924738166346	Protected	Entity/Characters/Mobs/SerpentManChapter3/TRNamedSerpHypnoCH03D1.prototype
9228271034514871064	9157211501156437069	9228271034514871064	Abstract	Property/Info/DamageShieldScaleByStat.defaults
9228723988774591155	9507772711945835304	6670986634407775621	Protected	Powers/EnemyPowers/Boss/Magneto/MetalStormHotspotEffect.prototype
9229148086835747522	8668605241195826261	15058995238909579300	Protected	Powers/EnemyPowers/AffixPowers/MoveAttackSpeedAuraAffix.prototype
9230508080826881942	783927714742874495	6670986634407775621	Protected	Powers/EnemyPowers/Boss/Gorgon/GorgonSwordSlash2.prototype
9231922561989747001	11080044141621544502	12289832533847773206	None	Entity/Transitions/Waypoints/CH06FortStryker/TrainingForestAreaWaypoint.prototype
9232468074346388836	1854859901880197107	12016596219784466657	Protected	Missions/Prototypes/Act1/Ch01HellsKitchen/Discoveries/ThugAmbush.prototype
9232683829858147306	3805671917928187371	9232683829858147306	Abstract	AI/BehaviorTree/Blueprints/Actions/ActionInteractWithTarget.defaults
9234063699256023901	8696425909045955652	823385494596293219	Protected	Entity/Characters/Mobs/HydraChapter3/HydraGrimReaperMinion.prototype
9236587272244631500	7746715664119829309	9236587272244631500	Abstract, Protected	Entity/Items/Armor/Blueprints/Hulk/ArmorHulkArmor.defaults
9237061995230335879	1148748467100917529	18048964659263507885	None	UI/TextStyles/TooltipAvatarStatHeader.prototype
9237467173672985134	5136004659748450474	12016596219784466657	Protected	Missions/Prototypes/Act2/Ch08LatveriaPlus/Discoveries/DoombotBrokenBlockade2.prototype
9238740017484143657	8648898799064480369	18145572357188290770	None	Regions/CH07SavageLand/TransitionAreas/CavesToMarshNorthArea.prototype
9239810111590700770	9368508186849838686	9239810111590700770	Abstract	Entity/Characters/Vendors/VendorLootTableEntry.defaults
9239838077057636214	12803063523390614104	1796573093010085697	Protected	Entity/Characters/NPCs/Civilians/MadriCivMSlumV03.prototype
9239928072365021829	7943296625315615295	8013641834399076475	Protected	Powers/EnemyPowers/MobPowers/Lavamen/LavaChampShockwave.prototype
9240068256868343483	5953663690720768485	12016596219784466657	Protected	Missions/Prototypes/Act2/Ch05MutantTown/Discoveries/MutantsTalking1.prototype
9240855417196518286	5481824334587305867	10774581141289766864	Protected	Entity/Items/Costumes/Prototypes/BlackPanther/WakandanTech.prototype
9241214330704567163	18279689790223556703	3563150965293390768	Protected	Entity/Items/Armor/Prototypes/Cyclops/o2Bodysuit/Bodysuit05.prototype
9242079516892402224	12887507677868791987	6670986634407775621	Protected	Powers/Player/Thor/HammerDashEffect.prototype
9242371306193819910	410875427783007950	703451406949944651	None	Populations/Populations/EndGameRandoms/EGRHydraPop01.prototype
9242928664446509245	16539927033396925131	9117296391531207140	Protected	Entity/Characters/Mobs/DinosaursChapter7/KingLizardArmoroidNadeHSEffect.prototype
9243460653627938461	18335159054021648383	4145787893015515674	None	UI/InventoryUIData/Crafting/Elements/Unstable03.prototype
9243611406816254585	11765870830196370929	5258743946580663385	Protected	Entity/Items/Armor/Prototypes/Spiderman/o3Gloves/Gloves11.prototype
9243903803829522804	17891017937146219646	7029623380667598997	None	PvP/FactionMode/Teams/FactionTeam1.prototype
9244509547396669670	228602751185801563	3341826552978477172	None	Regions/CH05MutantTown/ConnectionTargets/SCInstances/SCPowerPlantTarget.prototype
9245815741934342121	2174820352795251206	5508985158461163528	None	Loot/Tables/Vendor/Armor/Armr11.prototype
9246537951536093081	1496430543436323572	7397818537681622993	Protected	Entity/Items/Armor/Prototypes/Hulk/o4Pants/Pants04.prototype
9246678401498290162	8860168964665910736	10957017483222388574	None	Populations/Themes/CH03Madripoor/CH03HydraBaseTheme.prototype
9246993730507774285	15485951082491944790	10098145085924906179	None	Populations/Clusters/Maggia/EGD01MaggiaBruiserCluster.prototype
9247343211810067613	6769851108077407376	15371796094523413322	None	Localization/Translations/Allegiance/Hero.prototype
9247890993788820277	16079564107724119479	16641420896293227266	None	Entity/Props/Discoveries/Destructiblebarrelsteelpurifier.prototype
9248704685122394094	14778042464554524416	18145572357188290770	None	Regions/CH05MutantTown/Areas/Projects/ProjectsArea.prototype
9248776399542424804	7186467969490881659	6670986634407775621	Protected	Powers/EnemyPowers/MobPowers/AIEnergyBeam.prototype
9250009749571966889	9821656072825017061	5838903924738166346	Protected	Entity/Characters/Mobs/NgaraiCH5/NgaraiCairnStone4.prototype
9250474749894008933	17501344080184657081	12016596219784466657	Protected	Missions/Prototypes/Act1/Ch03Madripoor/Discoveries/TRGroveHandShakedown.prototype
9251295296996646518	15053888599751594723	3341826552978477172	None	Regions/EndGame/Tier3/StripMine/Tier3Level09/StripMineL09EntryTarget.prototype
9252367338000686852	17673911759840611449	15371796094523413322	None	Localization/Translations/Guild/Messages/InviteAlreadyInOtherGuild.prototype
