9228271034514871064	1759164190946036747	None	Property/Info/DamageShieldScaleByStat.blueprint
9234688453023047326	11654168744901087878	Protected	Powers/Blueprints/ConditionPowers/ConditionConditionRemovalPower.blueprint
9236172573579351402	3411906982588713952	None	Property/Mixin/DamagePctBonusVsAggroedProp.blueprint
9236587272244631500	13320763184622015194	Protected	Entity/Items/Armor/Blueprints/Hulk/ArmorHulkArmor.blueprint
9238320532663571432	14550457301627313849	None	Property/Mixin/VendorXPCapRollOverTime.blueprint
9246414643930207366	9213873395354043862	None	Property/Info/EntSelActOverheadTextDelay.blueprint
9248237022343139823	18064888832316223720	Protected	Powers/Blueprints/Keywords/Awesome.blueprint
9257137990213177977	2081834592486691469	None	Entity/Keywords/MobKeywords/Skrulls.blueprint
9258344517218735337	11619736102847515725	None	Property/Mixin/HealthAddBonusHardcoreProp.blueprint
9260233074892085684	4846846720654055473	Protected	Powers/Blueprints/Keywords/MagnetoElectromagneticBeam.blueprint
9264769822655256922	1709360425908831753	Protected	Powers/Blueprints/ConditionPowers/DefenseChangePower.blueprint
9270433410672170028	8278149927614024764	Protected	Property/Info/AvatarSpecializationPower.blueprint
9270929476151219559	9538513012428572115	None	Property/Mixin/DamageOverTimeBaseBonusProp.blueprint
9276200861295581540	15219653221715286147	Protected	Entity/Items/Affixes/PetTech/Epic/AffixPetTechEpicBase.blueprint
9280975487179232767	9198209304928463643	Protected	Powers/Blueprints/Keywords/Unique319WaterAmmo.blueprint
9283804983215657796	11409672474793870809	None	UI/Tooltips/TooltipSectionGamepadIcon.blueprint
9283846144769595056	8014739949679347216	Protected	Powers/Blueprints/ConditionPowers/NoCostPower.blueprint
9288808392879770990	13212262856757023278	None	Property/Info/StatSpeed.blueprint
9292343892672516644	8098317906374498346	Protected	Property/Info/ItemFulfillmentEntry.blueprint
9298715488734680672	4512764749157631516	None	Property/Mixin/CreatorEntityAssetRefBaseProp.blueprint
9303939674331749543	6551047860241894456	Protected	Powers/Blueprints/ConditionPowers/KnockDownTgtRestrictPower.blueprint
9304834476039346548	14386335967284110756	Protected	Entity/Items/Armor/Blueprints/DrDoom/ArmorDrDoomBoots.blueprint
9309593191131650161	16565111265759135259	Protected	Powers/Blueprints/ConditionPowers/PartyBonusPower.blueprint
9315177729008473688	16874639979446275042	None	Property/Mixin/SkillshotReflectFromAngleProp.blueprint
9319026948574419900	9059746599856178646	None	UI/UINotifications/StoryNotifications/VOStoryNotification.blueprint
9349296146205509948	7473436004356851207	None	Types/IPoint2.blueprint
9352761026393608900	9029073047306372622	None	Property/Mixin/DisableHealthGainProp.blueprint
